#,"URL Rating (desc)","Referring Page URL","Referring Page Title","Internal Links Count","External Links Count","Link URL",Type,TextPre,"Link Anchor",TextPost,"HTTP Code","DP check","RP check"
10,23,https://www.avvo.com/attorneys/95655-ca-michael-hackard-226264.html,"Lawyer Michael Hackard - Sacramento, CA Attorney - Avvo",213,102,http://bellainstitute.wordpress.com/2012/03/12/advice-to-a-weary-litigant,Nofollow,,"Advice To A Weary Litigant",,0,"2020-09-13 07:48:50","2020-03-31 01:27:53"
10,23,https://www.avvo.com/attorneys/95655-ca-michael-hackard-226264.html,"Lawyer Michael Hackard - Sacramento, CA Attorney - Avvo",213,102,http://bellainstitute.wordpress.com/2012/04/17/the-lawyer-as-storyteller,Nofollow,,"The Lawyer as Storyteller",,0,"2020-09-13 07:48:50","2020-03-31 01:27:53"
10,23,https://www.avvo.com/attorneys/95655-ca-michael-hackard-226264.html,"Lawyer Michael Hackard - Sacramento, CA Attorney - Avvo",213,102,http://bellainstitute.wordpress.com/2012/04/24/nicknames/,Nofollow,,Nicknames,,0,"2020-09-13 07:48:50","2020-03-31 01:27:53"
10,23,https://www.avvo.com/attorneys/95655-ca-michael-hackard-226264.html,"Lawyer Michael Hackard - Sacramento, CA Attorney - Avvo",213,102,http://bellainstitute.wordpress.com/2012/05/07/the-5-million-dollar-year/,Nofollow,,"The $5 Million-Dollar Year",,0,"2020-09-13 07:48:50","2020-03-31 01:27:53"
10,23,https://www.avvo.com/attorneys/95655-ca-michael-hackard-226264.html,"Lawyer Michael Hackard - Sacramento, CA Attorney - Avvo",213,102,http://bellainstitute.wordpress.com/2012/08/16/ponzi-schemes-and-clawbacks/,Nofollow,,"Ponzi Schemes and Clawbacks",,0,"2020-09-13 07:48:50","2020-03-31 01:27:53"
10,23,https://www.avvo.com/attorneys/95655-ca-michael-hackard-226264.html,"Lawyer Michael Hackard - Sacramento, CA Attorney - Avvo",213,102,http://bellainstitute.wordpress.com/2013/01/17/sba-shuts-down-edf-resource-capital-important-lessons-for-guarantors/,Nofollow,,"SBA Shuts Down EDF Resource Capital: Important Lessons for Guarantors (Long Version)",,0,"2020-09-13 07:48:50","2020-03-31 01:27:53"
11,23,https://www.avvo.com/attorneys/55443-mn-scott-anderson-1640796.html,"Lawyer Scott Anderson - Brooklyn Park, MN Attorney - Avvo",176,18,https://www.scottandersonlaw.com/criminal-defense/contact.html,Dofollow,Please,"contact Scott L. Anderson NOW","at 763-422-8664 or e-mail him at",404,"2020-09-16 06:15:03","2020-05-06 11:41:15"
12,23,https://www.avvo.com/legal-guides/ugc/seven-common-dui-defenses,"7 common DUI defenses - Legal Guides - Avvo",173,11,https://www.abcactionnews.com/news/5-myths-about-drunk-driving-tests-debunked,Dofollow,"in those awkward moments post-pullover. Unfortunately, these tactics have been","debunked time and time again",.,404,"2020-09-21 10:40:43","2020-04-21 20:15:48"
13,22,https://www.avvo.com/all-lawyers/tx/dallas.html,"Find the best lawyer in Dallas, TX - Avvo",210,43,http://www.henkelawfirm.com/,Nofollow,,Website,,404,"2020-10-01 01:03:54","2020-05-08 00:48:20"
13,22,https://www.avvo.com/all-lawyers/tx/dallas.html,"Find the best lawyer in Dallas, TX - Avvo",210,43,https://www.greshampc.com/,Nofollow,,Website,,404,"2020-09-11 23:54:11","2020-05-08 00:48:20"
14,22,https://www.avvo.com/attorneys/92835-ca-jeffrey-kent-366854.html,"Lawyer Jeffrey Kent - Fullerton, CA Attorney - Avvo",219,33,https://www.nacdl.org/Home/NotFound?url=/public.nsf/freeform/publicwelcome?opendocument,Dofollow,"Jeff is a member on the","National Association of Criminal Defense Lawyers",", California Attorneys for Criminal Justice , and a co-founder",404,"2020-10-01 22:09:33","2020-05-05 21:33:44"
15,22,https://www.avvo.com/dui-dwi-lawyer/ga/atlanta.html,"Find the best DUI & DWI lawyer in Atlanta, GA - Avvo",190,42,https://www.chancoschiffer.com/atlanta-personal-injury-lawyer/,Nofollow,,Website,,404,"2020-09-23 04:27:27","2020-05-10 00:44:47"
16,22,https://www.avvo.com/attorneys/90036-ca-neil-shouse-270698.html,"Lawyer Neil Shouse - Los Angeles, CA Attorney - Avvo",197,42,https://www.sidley.com/en/us/,Nofollow,"on the other side. He defended large insurance companies at","Sidley & Austin",", one of the world's largest and most prestigious law",404,"2020-09-22 05:02:36","2020-05-07 21:36:08"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://alaskabar.org/servlet/content/complaints_against_a.html,Dofollow,,Alaska,,404,"2020-10-01 12:30:32","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://www.mass.gov/obcbbo/complaint.htm,Dofollow,,Massachusetts,,404,"2020-09-30 08:07:51","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://www.wyomingbar.org/for-the-public/attorney-compliants/complain-about-a-lawyers-conduct/,Dofollow,,Wyoming,,404,"2020-09-29 13:28:54","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://www.njcourts.gov/oae/atty_disc/atty_disc.html,Dofollow,,"New Jersey",,404,"2020-09-27 23:44:22","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://www.dcbar.org/attorney-discipline/for-the-public/file-an-attorney-complaint,Dofollow,,D.C.,,404,"2020-09-26 08:15:34","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://www.ncbar.gov/public/filing.asp,Dofollow,,"North Carolina",,404,"2020-09-23 21:03:40","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://www.kscourts.org/rules-procedures-forms/attorney-discipline/complaints.asp,Dofollow,,Kansas,,404,"2020-09-23 10:46:37","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://supremecourt.nebraska.gov/4571/how-file-grievance-against-attorney,Dofollow,,Nebraska,,404,"2020-09-21 20:15:52","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://www.azbar.org/LawyerConcerns,Dofollow,,Arizona,,404,"2020-09-16 05:47:56","2020-09-16 05:32:02"
17,22,https://support.avvo.com/hc/en-us/articles/115000326423-How-to-file-a-complaint-against-an-attorney,"How to file a complaint against an attorney – Avvo support center",24,119,https://montanaodc.org/ComplaintbrnbspnbspnbspnbspnbspForm/tabid/1210/Default.aspx,Dofollow,,Montana,,404,"2020-09-11 22:40:09","2020-09-16 05:32:02"
18,22,https://www.avvo.com/dui-dwi-lawyer/tx/houston.html,"Find the best DUI & DWI lawyer in Houston, TX - Avvo",190,46,http://www.thehoustondwilawyer.com/,Nofollow,,Website,,404,"2020-10-01 06:38:17","2020-05-05 15:12:05"
19,21,https://www.avvo.com/attorneys/48327-mi-timothy-flynn-739525.html,"Lawyer Timothy Flynn - Waterford Township, MI Attorney - Avvo",209,34,http://www.michbar.org/news/releases/archives09/AM/barschedule.html,Nofollow,,"Law Firm Marketing",,404,"2020-09-19 07:44:21","2020-03-28 10:43:28"
20,21,https://www.avvo.com/personal-injury-lawyer/tx/dallas.html,"Find the best Personal Injury lawyer in Dallas, TX - Avvo",190,39,https://www.greshampc.com/,Nofollow,,Website,,404,"2020-09-11 23:54:11","2020-05-12 13:00:39"
21,21,https://www.avvo.com/family-lawyer/az/phoenix.html,"Find the best Family lawyer in Phoenix, AZ - Avvo",190,40,https://www.phxfamilyattorney.com/,Nofollow,,Website,,404,"2020-10-01 11:09:12","2020-05-12 16:47:11"
22,21,https://www.avvo.com/attorneys/90017-ca-carl-shusterman-238998.html,"Lawyer Carl Shusterman - Los Angeles, CA Attorney - Avvo",189,537,https://www.shusterman.com/sanction,Nofollow,,"INC vs. INS",,404,"2020-09-30 19:53:05","2020-04-23 09:08:44"
22,21,https://www.avvo.com/attorneys/90017-ca-carl-shusterman-238998.html,"Lawyer Carl Shusterman - Los Angeles, CA Attorney - Avvo",189,537,https://www.shusterman.com/mar06,Nofollow,,"Visa and Immigration Issues for IMGs",,404,"2020-09-30 08:00:06","2020-04-23 09:08:44"
22,21,https://www.avvo.com/attorneys/90017-ca-carl-shusterman-238998.html,"Lawyer Carl Shusterman - Los Angeles, CA Attorney - Avvo",189,537,https://www.shusterman.com/jun06,Nofollow,,"Unlocking the Power of the Internet for Immigration Practice",,404,"2020-09-30 04:34:42","2020-04-23 09:08:44"
22,21,https://www.avvo.com/attorneys/90017-ca-carl-shusterman-238998.html,"Lawyer Carl Shusterman - Los Angeles, CA Attorney - Avvo",189,537,https://www.shusterman.com/asylum91,Nofollow,,"Seeking Asylum in the United States",,404,"2020-09-30 00:19:51","2020-04-23 09:08:44"
22,21,https://www.avvo.com/attorneys/90017-ca-carl-shusterman-238998.html,"Lawyer Carl Shusterman - Los Angeles, CA Attorney - Avvo",189,537,https://www.shusterman.com/siu,Nofollow,,"Child Status Protection Act",,404,"2020-09-29 07:29:01","2020-04-23 09:08:44"
22,21,https://www.avvo.com/attorneys/90017-ca-carl-shusterman-238998.html,"Lawyer Carl Shusterman - Los Angeles, CA Attorney - Avvo",189,537,http://www.fedbar.org/Education/Calendar-CLE-events/2017-Immigration-Law-Conference.aspx,Nofollow,,"Immigration Law Section",,404,"2020-09-27 06:01:51","2020-04-23 09:08:44"
22,21,https://www.avvo.com/attorneys/90017-ca-carl-shusterman-238998.html,"Lawyer Carl Shusterman - Los Angeles, CA Attorney - Avvo",189,537,https://www.shusterman.com/asylum95,Nofollow,,"Closing the Asylum Door",,404,"2020-09-19 15:32:46","2020-04-23 09:08:44"
23,21,https://www.avvo.com/attorneys/10601-ny-david-bliven-952796.html,"Lawyer David Bliven - White Plains, NY Attorney - Avvo",197,71,http://westchesterchildcustodyattorney.blogspot.com/,Nofollow,,"Westchester Child Custody Blog",,404,"2020-09-29 10:34:49","2020-04-19 01:54:04"
23,21,https://www.avvo.com/attorneys/10601-ny-david-bliven-952796.html,"Lawyer David Bliven - White Plains, NY Attorney - Avvo",197,71,http://bronxpolicebrutalityattorney.blogspot.com/,Nofollow,,"Bronx Police Misconduct Blog",,404,"2020-09-21 12:27:07","2020-04-19 01:54:04"
23,21,https://www.avvo.com/attorneys/10601-ny-david-bliven-952796.html,"Lawyer David Bliven - White Plains, NY Attorney - Avvo",197,71,http://bronxdivorceattorney.blogspot.com/,Nofollow,,"Bronx Divorce Blog",,404,"2020-09-19 11:58:22","2020-04-19 01:54:04"
23,21,https://www.avvo.com/attorneys/10601-ny-david-bliven-952796.html,"Lawyer David Bliven - White Plains, NY Attorney - Avvo",197,71,http://westchesterdivorceattorney.blogspot.com/,Nofollow,,"Westchester Divorce Blog",,404,"2020-09-19 08:39:23","2020-04-19 01:54:04"
24,21,https://www.avvo.com/attorneys/30342-ga-william-head-478108.html,"Lawyer William Head - Sandy Springs, GA Attorney - Avvo",390,110,http://www.theduibook.com/,Nofollow,,"Book for DUI Clients - National",,404,"2020-09-29 08:42:51","2020-04-18 14:35:14"
24,21,https://www.avvo.com/attorneys/30342-ga-william-head-478108.html,"Lawyer William Head - Sandy Springs, GA Attorney - Avvo",390,110,http://www.drunkdrivingdefense.com/publications-articles/101-ways-summary.htm,Nofollow,,"101 Ways to Avoid a Drunk Driving Conviction",,404,"2020-09-18 15:23:01","2020-04-18 14:35:14"
24,21,https://www.avvo.com/attorneys/30342-ga-william-head-478108.html,"Lawyer William Head - Sandy Springs, GA Attorney - Avvo",390,110,http://www.drunkdrivingdefense.com/publications-articles/drunk-driving-defense.htm,Nofollow,,"Five Myths about Defending Drinking Drivers",,404,"2020-09-12 10:12:43","2020-04-18 14:35:14"
25,21,https://www.avvo.com/attorneys/11375-ny-ray-beckerman-785244.html,"Lawyer Ray Beckerman - Forest Hills, NY Attorney - Avvo",191,33,https://beckermanlegal.com/Documents/080729LargeRecordingCompaniesVsTheDefenselessHTMLVERSION.htm,Nofollow,,"Large Recording Companies v. The Defenseless: Some Common Sense Solutions to the Challenges of the RIAA Litigation",,404,"2020-09-17 13:22:05","2020-05-09 12:03:18"
25,21,https://www.avvo.com/attorneys/11375-ny-ray-beckerman-785244.html,"Lawyer Ray Beckerman - Forest Hills, NY Attorney - Avvo",191,33,http://csel.wordpress.com/2010-entertainment-symposium/,Nofollow,,"The Next Big Thing: Emerging Issues in Entertainment Law",,0,"2020-09-13 06:44:15","2020-05-09 12:03:18"
26,21,https://www.avvo.com/attorneys/15219-pa-joseph-paletta-533191.html,"Lawyer Joseph Paletta - Pittsburgh, PA Attorney - Avvo",191,40,https://palettalaw.com/schedule-free-consultation/,Nofollow,,https://palettalaw.com/schedule-free-consultation/,,404,"2020-09-19 22:46:13","2020-03-31 11:15:35"
27,21,https://www.avvo.com/attorneys/33334-fl-shilpa-malik-1792581.html,"Lawyer Shilpa Malik - Fort Lauderdale, FL Attorney - Avvo",151,13,http://www.zvents.com/west_palm_beach_fl/events/show/171832725-free-immigration-seminar-at-the-west-palm-beach-public-library,Nofollow,,"Immigration Seminar on Family Green Card and deportation matters",,0,"2020-09-15 18:45:08","2020-04-20 17:17:57"
28,21,https://stories.avvo.com/crime/murder/11-common-traits-of-mass-murderers-and-serial-killers.html,"11 Common Traits of Mass Murderers and Serial Killers - AvvoStories",47,21,https://www.pet-abuse.com/pages/abuse_connection.php,Dofollow,"As children, soon-to-be","serial killers often torture animals",.,404,"2020-10-01 03:31:40","2020-06-27 16:19:25"
29,21,https://stories.avvo.com/nakedlaw/bizarre/the-real-difference-between-pg-13-and-r-rated-movies.html,"The Real Difference Between ""PG-13"" and ""R"" Rated Movies - AvvoStories",46,36,https://www.rogerebert.com/apps/pbcs.dll/article?AID=/20031116/ANSWERMAN/311160302,Dofollow,"less than Roger Ebert has called this particular criterion “","a wild overreaction",.”,404,"2020-09-28 08:40:56","2020-06-27 07:02:47"
30,21,https://stories.avvo.com/rights/immigration/can-immigrants-serve-us-military-8-rules-non-citizen-service.html,"Immigrants in the U.S. military: 8 rules on non-citizen service",61,27,https://weareoneamerica.org/immigrants-military-fact-sheet,Dofollow,"Yes! Each year about","8,000 non-citizens","join the U.S. military. A 2011 study found that roughly",404,"2020-09-29 09:33:36","2020-06-27 07:02:49"
31,21,https://www.avvo.com/attorneys/03079-nh-mark-stevens-1358944.html,"Lawyer Mark Stevens - Salem, NH Attorney - Avvo",183,21,http://www.byebyedwi.wordpress.com/,Nofollow,,"Bye Bye DWI by Attorney Mark Stevens",,0,"2020-09-12 19:42:22","2020-05-13 23:58:12"
32,21,https://www.avvo.com/attorneys/95624-ca-john-obrien-119125.html,"Lawyer John O'Brien - Elk Grove, CA Attorney - Avvo",199,44,http://legal.businessleaderspotlight.com/personal-injury/attorney-in-elk-grove-ca-john-obrien/,Nofollow,,"Why Do People Need a Personal Injury Attorney?",,0,"2020-08-16 20:16:12","2020-05-13 21:57:17"
33,20,https://www.avvo.com/attorneys/19053-pa-michael-saile-1587108.html,"Lawyer Michael Saile - Trevose, PA Attorney - Avvo",211,85,https://philadelphia.cbslocal.com/?post_type=station&p=16,Nofollow,,"Auto Accident Law",,404,"2020-09-23 08:49:23","2020-05-11 00:51:08"
34,20,https://www.avvo.com/attorneys/11367-ny-roman-aminov-3818570.html,"Lawyer Roman Aminov - Flushing, NY Attorney - Avvo",195,75,https://www.aminovlaw.com/queens-ny-probate-administration-law/,Dofollow,"complicated family situations. Our firm often represents family members in","probate and estate administration proceedings","throughout New York City and Long Island. Mr. Aminov also",404,"2020-09-26 19:33:31","2020-05-06 17:30:13"
34,20,https://www.avvo.com/attorneys/11367-ny-roman-aminov-3818570.html,"Lawyer Roman Aminov - Flushing, NY Attorney - Avvo",195,75,https://www.aminovlaw.com/new-york-estate-planning/,Dofollow,"Aminovis a client centric trusts and estates practice concentrating in","estate planning",", elder law , and probate . We handle the",404,"2020-09-26 17:14:16","2020-05-06 17:30:13"
35,20,https://www.avvo.com/bankruptcy-debt-lawyer/il/chicago.html,"Find the best Bankruptcy lawyer in Chicago, IL - Avvo",190,37,https://www.sfgh.com/jfriedland,Nofollow,,Website,,404,"2020-09-27 00:28:05","2020-05-11 13:44:27"
36,20,https://www.avvo.com/attorneys/32937-fl-richard-shuster-1239573.html,"Lawyer Richard Shuster - Satellite Beach, FL Attorney - Avvo",191,21,https://www.tampabay.com/news/confusing-lawyer-fees-complicate-foreclosure-battles/1173271/,Nofollow,,"Confusing lawyer fees complicate foreclosure battles",,404,"2020-09-24 20:15:39","2020-04-14 06:43:09"
37,20,https://www.avvo.com/attorneys/21210-md-thomas-valkenet-1566301.html,"Lawyer Thomas Valkenet - Baltimore, MD Attorney - Avvo",197,80,http://www.dccourts.gov/internet/welcome.jsf,Nofollow,,"The Superior Court for the District of Columbia",,404,"2020-10-02 04:01:22","2020-04-19 01:46:56"
37,20,https://www.avvo.com/attorneys/21210-md-thomas-valkenet-1566301.html,"Lawyer Thomas Valkenet - Baltimore, MD Attorney - Avvo",197,80,http://www.dccourts.gov/internet/appellate/main.jsf,Nofollow,,"The District of Columbia Court of Appeals",,404,"2020-10-01 15:30:09","2020-04-19 01:46:56"
37,20,https://www.avvo.com/attorneys/21210-md-thomas-valkenet-1566301.html,"Lawyer Thomas Valkenet - Baltimore, MD Attorney - Avvo",197,80,https://www.dcd.uscourts.gov/dcd/,Nofollow,,"The United States District Court for the District of Columbia",,404,"2020-09-26 02:03:25","2020-04-19 01:46:56"
38,20,https://www.avvo.com/immigration-lawyer/tx/san_antonio.html,"Find the best Immigration lawyer in San Antonio, TX - Avvo",188,20,http://oterolawyer.com/,Nofollow,,Website,,404,"2020-09-30 00:24:35","2020-04-19 11:43:31"
39,20,https://www.avvo.com/attorneys/98101-wa-daniel-harris-16225.html,"Lawyer Daniel Harris - Seattle, WA Attorney - Avvo",170,183,http://www.iafinance.org/events.html,Nofollow,,"China IP",,404,"2020-09-24 08:02:38","2020-04-17 22:15:31"
40,20,https://www.avvo.com/attorneys/92614-ca-timothy-mcfarlin-275527.html,"Lawyer Timothy McFarlin - Irvine, CA Attorney - Avvo",198,59,https://www.car.org/legal/legal-hotline-access/,Nofollow,,"What Realtors Need to Know about Bankruptcy",,404,"2020-09-26 07:54:23","2020-05-05 09:43:48"
40,20,https://www.avvo.com/attorneys/92614-ca-timothy-mcfarlin-275527.html,"Lawyer Timothy McFarlin - Irvine, CA Attorney - Avvo",198,59,http://www.walletpop.com/blog/2009/12/27/simple-tips-for-when-to-refinance-your-mortgage-in-2010/,Nofollow,,"Simple tips for when to refinance your mortgage in 2010",,404,"2020-09-25 06:55:55","2020-05-05 09:43:48"
41,20,https://www.avvo.com/attorneys/60187-il-donald-ramsell-1107212.html,"Lawyer Donald Ramsell - Wheaton, IL Attorney - Avvo",207,60,https://store.legal.thomsonreuters.com/law-products/productdetail/154343/40866517/productdetail,Nofollow,,"Understanding DUI Scientific Evidence",,404,"2020-09-26 04:07:40","2020-05-14 06:53:31"
42,20,https://www.avvo.com/attorneys/33301-fl-chad-vanhorn-3417109.html,"Lawyer Chad Van Horn - Fort Lauderdale, FL Attorney - Avvo",198,26,http://urimanreview.com/wp-content/uploads/2010/11/UriMan-01-30-11.mp3,Nofollow,,"Debt Options",,0,"2020-09-12 19:17:16","2020-05-04 09:44:33"
43,20,https://www.avvo.com/attorneys/90010-ca-leodis-matthews-297315.html,"Lawyer Leodis Matthews - Los Angeles, CA Attorney - Avvo",146,14,https://mashable.com/people/leodismatthews/,Nofollow,,Mashable,,404,"2020-09-12 16:53:25","2020-05-16 08:44:14"
44,20,https://www.avvo.com/employment-labor-lawyer/il/chicago.html,"Find the best Employment lawyer in Chicago, IL - Avvo",190,43,https://hsplegal.com/lawyers/kalman-d-resnick/,Nofollow,,Website,,404,"2020-09-28 19:31:06","2020-04-22 08:09:10"
45,20,https://www.avvo.com/attorneys/07306-nj-brian-freeman-688086.html,"Lawyer Brian Freeman - Jersey City, NJ Attorney - Avvo",181,27,http://businessleaderspotlight.com/,Nofollow,,"Divorce law in New Jersey",,0,"2020-09-08 02:30:33","2020-05-10 18:13:25"
46,20,https://www.avvo.com/all-lawyers/ca/riverside.html,"Find the best lawyer in Riverside, CA - Avvo",210,49,https://www.lawcullen.com/Attorney-Profiles/Valerie-L-Murphy.shtml,Nofollow,,Website,,404,"2020-09-26 07:49:25","2020-05-10 23:56:28"
47,20,https://www.avvo.com/car-accidents-lawyer/tx/dallas.html,"Find the best Car Accident lawyer in Dallas, TX - Avvo",190,38,https://www.greshampc.com/,Nofollow,,Website,,404,"2020-09-11 23:54:11","2020-04-21 09:19:54"
48,20,https://www.avvo.com/attorneys/07601-nj-travis-tormey-1596439.html,"Lawyer Travis Tormey - Hackensack, NJ Attorney - Avvo",199,52,https://philadelphia.cbslocal.com/show/the-dom-giordano-program/,Nofollow,,"Domestic Violence in New Jersey",,404,"2020-09-24 04:36:59","2020-05-06 16:13:06"
49,20,https://www.avvo.com/attorneys/92108-ca-mark-blane-315735.html,"Lawyer Mark Blane - San Diego, CA Attorney - Avvo",223,196,https://www.mass.gov/obcbbo/ofcounsel.htm,Dofollow,"is primarily comprised of a team of paralegals, and one","Of Counsel","attorney member, Chad James McGuire, Esq. He likes keeping",404,"2020-09-26 10:58:52","2020-04-01 22:43:38"
50,20,https://www.avvo.com/attorneys/30326-ga-joshua-schiffer-512594.html,"Lawyer Joshua Schiffer - Atlanta, GA Attorney - Avvo",209,16,https://www.chancoschiffer.com/atlanta-wrongful-death-attorney/,Nofollow,,"Atlanta Wrongful Death Lawyer",,404,"2020-09-23 09:59:21","2020-05-06 20:18:43"
50,20,https://www.avvo.com/attorneys/30326-ga-joshua-schiffer-512594.html,"Lawyer Joshua Schiffer - Atlanta, GA Attorney - Avvo",209,16,https://www.chancoschiffer.com/atlanta-personal-injury-lawyer/,Nofollow,,https://www.chancoschiffer.com/atlanta-personal-injury-lawyer/,,404,"2020-09-23 04:27:27","2020-05-06 20:18:43"
51,20,https://www.avvo.com/attorneys/96813-hi-timothy-bilecki-1269813.html,"Lawyer Timothy Bilecki - Honolulu, HI Attorney - Avvo",194,42,https://www.bileckilawgroup.com/Court-Martial-Defense-Blog.aspx,Nofollow,,"Recent Blog Posts",,404,"2020-09-12 09:46:46","2020-05-16 19:32:29"
